Title,Author,Length
Fourth Wing (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,7 hrs and 52 mins
Fourth Wing (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,7 hrs and 52 mins
The Takedown,Lily Chu,10 hrs and 55 mins
Outlander,Diana Gabaldon,32 hrs and 38 mins
Pride and Prejudice,Jane Austen,11 hrs and 35 mins
There's Something About Merry,Codi Hall,10 hrs and 43 mins
Entangled,Rebecca Quinn,21 hrs and 43 mins
Billionaire Bad Boys Box Set: Books 1-4,Carly Phillips,20 hrs and 44 mins
How to Lose a Guy Before Christmas,A.J. Pine,5 hrs and 24 mins
What We Find,Robyn Carr,10 hrs
Those Who Wait,Haley Cass,21 hrs and 6 mins
Back in the Burbs,Avery Flynn,10 hrs and 36 mins
Miracle Creek Christmas,Krista Lynne Jensen,10 hrs and 18 mins
The Viscount Who Loved Me,Julia Quinn,12 hrs and 23 mins
The Dragon Shifter's Mates Boxed Set Books 1-4,Eva Chase,23 hrs and 32 mins
Corrupt,Penelope Douglas,14 hrs and 37 mins
Swept Away,Robyn Carr,10 hrs and 16 mins
Wicked,Jennifer L. Armentrout,11 hrs and 44 mins
The Best Worst Christmas,Kate Forster,4 hrs and 29 mins
Sense and Sensibility,Jane Austen,11 hrs and 25 mins
The Bridge Kingdom,Danielle L. Jensen,11 hrs and 52 mins
The Comeback,Lily Chu,12 hrs and 14 mins
The Comeback,Lily Chu,12 hrs and 14 mins
Meet the Dares: Dare to Love Box Set,Carly Phillips,36 hrs and 40 mins
Killian,Natasha Knight,7 hrs and 20 mins
Le penthouse,Sylvie G.,6 hrs and 27 mins
Just One Night,Carly Phillips,5 hrs and 49 mins
Lie to Me,Molly McAdams,13 hrs and 53 mins
Puck Me Secretly,Odette Stone,9 hrs and 59 mins
Christmas in Eternity Springs,Emily March,9 hrs and 46 mins
The Stand-In,Lily Chu,10 hrs and 55 mins
Anna Karenina,Leo Tolstoy,35 hrs and 35 mins
The Duke and I,Julia Quinn,12 hrs and 9 mins
Redeeming Love,Francine Rivers,17 hrs and 17 mins
The Secret of Pembrooke Park,Julie Klassen,18 hrs and 3 mins
The Night Before,Lisa Jackson,18 hrs and 17 mins
Teach Me,K. A. Tucker,7 hrs and 57 mins
An Offer from a Gentleman,Julia Quinn,12 hrs and 22 mins
Meet Me at the Cupcake Cafe,Jenny Colgan,12 hrs and 54 mins
Sexy,JA Huss,7 hrs and 47 mins
Romancing Mister Bridgerton,Julia Quinn,13 hrs and 17 mins
The Endless War,Danielle L. Jensen,16 hrs and 54 mins
Break Me,K. A. Tucker,8 hrs and 11 mins
Break Me,K. A. Tucker,8 hrs and 11 mins
Shiver,Suzanne Wright,16 hrs and 54 mins
The Jane Austen Collection,Jane Austen,45 hrs
Love at First Psych,Cara Bastone,4 hrs and 35 mins
Seatmate,Cara Bastone,5 hrs and 10 mins
A Court of Wings and Ruin,Sarah J. Maas,25 hrs and 9 mins
Call Me Maybe,Cara Bastone,5 hrs and 55 mins
Surrender to Me,K. A. Tucker,8 hrs and 40 mins
The Hitman's Guide to Codenames and Ill-Gotten Gains,Alice Winters,9 hrs and 26 mins
The View from Alameda Island,Robyn Carr,9 hrs and 53 mins
Hideaway,Penelope Douglas,14 hrs and 49 mins
The Life She Wants,Robyn Carr,11 hrs and 20 mins
Sweet Talk,Cara Bastone,5 hrs and 42 mins
The Ghost of Marlow House,Bobbi Holmes,9 hrs and 11 mins
The Christmas Eve Letter,Elyse Douglas,11 hrs and 38 mins
Reign of Dragons,Olivia Ash,13 hrs and 55 mins
Rhapsodic,Laura Thalassa,11 hrs and 39 mins
The Burnout,Sophie Kinsella,12 hrs and 21 mins
Dirty Wolf: A Curvy Girl and Wolf Shifter Romance,Aidy Award,6 hrs and 25 mins
Fate of Dragons,Olivia Ash,10 hrs and 20 mins
Getting Real,Emma Chase,7 hrs and 42 mins
Getting Real,Emma Chase,7 hrs and 42 mins
Sin with Me,Johnathan McClain,7 hrs and 20 mins
Ice Planet Barbarians,Ruby Dixon,5 hrs and 51 mins
"The Naughty, the Nice and the Nanny",Willa Nash,4 hrs and 11 mins
The Christmas Surprise,Jenny Colgan,8 hrs and 51 mins
The Baller,Vi Keeland,8 hrs and 49 mins
Jesse,JA Huss,6 hrs and 42 mins
The Painter's Daughter,Julie Klassen,14 hrs and 3 mins
The X Ingredient,Roslyn Sinclair,11 hrs and 7 mins
Turbulence du coeur,Nathalie Roy,7 hrs and 25 mins
